,date,price
0,2015-01-01,8284.0
1,2015-01-02,8395.45
2,2015-01-05,8378.4
3,2015-01-06,8127.35
4,2015-01-07,8102.1
5,2015-01-08,8234.6
6,2015-01-09,8284.5
7,2015-01-12,8323.0
8,2015-01-13,8299.4
9,2015-01-14,8277.55
10,2015-01-15,8494.15
11,2015-01-16,8513.8
12,2015-01-19,8550.7
13,2015-01-20,8695.6
14,2015-01-21,8729.5
15,2015-01-22,8761.4
16,2015-01-23,8835.6
17,2015-01-27,8910.5
18,2015-01-28,8914.3
19,2015-01-29,8952.35
20,2015-01-30,8808.9
21,2015-02-02,8797.4
22,2015-02-03,8756.55
23,2015-02-04,8723.7
24,2015-02-05,8711.7
25,2015-02-06,8661.05
26,2015-02-09,8526.35
27,2015-02-10,8565.55
28,2015-02-11,8627.4
29,2015-02-12,8711.55
30,2015-02-13,8805.5
31,2015-02-16,8809.35
32,2015-02-18,8869.1
33,2015-02-19,8895.3
34,2015-02-20,8833.6
35,2015-02-23,8754.95
36,2015-02-24,8762.1
37,2015-02-25,8767.25
38,2015-02-26,8683.85
39,2015-02-27,8844.6
40,2015-02-28,8901.85
41,2015-03-02,8956.75
42,2015-03-03,8996.25
43,2015-03-04,8922.65
44,2015-03-05,8937.75
45,2015-03-09,8756.75
46,2015-03-10,8712.05
47,2015-03-11,8699.95
48,2015-03-12,8776.0
49,2015-03-13,8647.75
50,2015-03-16,8633.15
51,2015-03-17,8723.3
52,2015-03-18,8685.9
53,2015-03-19,8634.65
54,2015-03-20,8570.9
55,2015-03-23,8550.9
56,2015-03-24,8542.95
57,2015-03-25,8530.8
58,2015-03-26,8342.15
59,2015-03-27,8341.4
60,2015-03-30,8492.3
61,2015-03-31,8491.0
62,2015-04-01,8586.25
63,2015-04-06,8659.9
64,2015-04-07,8660.3
65,2015-04-08,8714.4
66,2015-04-09,8778.3
67,2015-04-10,8780.35
68,2015-04-13,8834.0
69,2015-04-15,8750.2
70,2015-04-16,8706.7
71,2015-04-17,8606.0
72,2015-04-20,8448.1
73,2015-04-21,8377.75
74,2015-04-22,8429.7
75,2015-04-23,8398.3
76,2015-04-24,8305.25
77,2015-04-27,8213.8
78,2015-04-28,8285.6
79,2015-04-29,8239.75
80,2015-04-30,8181.5
81,2015-05-04,8331.95
82,2015-05-05,8324.8
83,2015-05-06,8097.0
84,2015-05-07,8057.3
85,2015-05-08,8191.5
86,2015-05-11,8325.25
87,2015-05-12,8126.95
88,2015-05-13,8235.45
89,2015-05-14,8224.2
90,2015-05-15,8262.35
91,2015-05-18,8373.65
92,2015-05-19,8365.65
93,2015-05-20,8423.25
94,2015-05-21,8421.0
95,2015-05-22,8458.95
96,2015-05-25,8370.25
97,2015-05-26,8339.35
98,2015-05-27,8334.6
99,2015-05-28,8319.0
100,2015-05-29,8433.65
101,2015-06-01,8433.4
102,2015-06-02,8236.45
103,2015-06-03,8135.1
104,2015-06-04,8130.65
105,2015-06-05,8114.7
106,2015-06-08,8044.15
107,2015-06-09,8022.4
108,2015-06-10,8124.45
109,2015-06-11,7965.35
110,2015-06-12,7982.9
111,2015-06-15,8013.9
112,2015-06-16,8047.3
113,2015-06-17,8091.55
114,2015-06-18,8174.6
115,2015-06-19,8224.95
116,2015-06-22,8353.1
117,2015-06-23,8381.55
118,2015-06-24,8360.85
119,2015-06-25,8398.0
120,2015-06-26,8381.1
121,2015-06-29,8318.4
122,2015-06-30,8368.5
123,2015-07-01,8453.05
124,2015-07-02,8444.9
125,2015-07-03,8484.9
126,2015-07-06,8522.15
127,2015-07-07,8510.8
128,2015-07-08,8363.05
129,2015-07-09,8328.55
130,2015-07-10,8360.55
131,2015-07-13,8459.65
132,2015-07-14,8454.1
133,2015-07-15,8523.8
134,2015-07-16,8608.05
135,2015-07-17,8609.85
136,2015-07-20,8603.45
137,2015-07-21,8529.45
138,2015-07-22,8633.5
139,2015-07-23,8589.8
140,2015-07-24,8521.55
141,2015-07-27,8361.0
142,2015-07-28,8337.0
143,2015-07-29,8375.05
144,2015-07-30,8421.8
145,2015-07-31,8532.85
146,2015-08-03,8543.05
147,2015-08-04,8516.9
148,2015-08-05,8567.95
149,2015-08-06,8588.65
150,2015-08-07,8564.6
151,2015-08-10,8525.6
152,2015-08-11,8462.35
153,2015-08-12,8349.45
154,2015-08-13,8355.85
155,2015-08-14,8518.55
156,2015-08-17,8477.3
157,2015-08-18,8466.55
158,2015-08-19,8495.15
159,2015-08-20,8372.75
160,2015-08-21,8299.95
161,2015-08-24,7809.0
162,2015-08-25,7880.7
163,2015-08-26,7791.85
164,2015-08-27,7948.95
165,2015-08-28,8001.95
166,2015-08-31,7971.3
167,2015-09-01,7785.85
168,2015-09-02,7717.0
169,2015-09-03,7823.0
170,2015-09-04,7655.05
171,2015-09-07,7558.8
172,2015-09-08,7688.25
173,2015-09-09,7818.6
174,2015-09-10,7788.1
175,2015-09-11,7789.3
176,2015-09-14,7872.25
177,2015-09-15,7829.1
178,2015-09-16,7899.15
179,2015-09-18,7981.9
180,2015-09-21,7977.1
181,2015-09-22,7812.0
182,2015-09-23,7845.95
183,2015-09-24,7868.5
184,2015-09-28,7795.7
185,2015-09-29,7843.3
186,2015-09-30,7948.9
187,2015-10-01,7950.9
188,2015-10-05,8119.3
189,2015-10-06,8152.9
190,2015-10-07,8177.4
191,2015-10-08,8129.35
192,2015-10-09,8189.7
193,2015-10-12,8143.6
194,2015-10-13,8131.7
195,2015-10-14,8107.9
196,2015-10-15,8179.5
197,2015-10-16,8238.15
198,2015-10-19,8275.05
199,2015-10-20,8261.65
200,2015-10-21,8251.7
201,2015-10-23,8295.45
202,2015-10-26,8260.55
203,2015-10-27,8232.9
204,2015-10-28,8171.2
205,2015-10-29,8111.75
206,2015-10-30,8065.8
207,2015-11-02,8050.8
208,2015-11-03,8060.7
209,2015-11-04,8040.2
210,2015-11-05,7955.45
211,2015-11-06,7954.3
212,2015-11-09,7915.2
213,2015-11-10,7783.35
214,2015-11-11,7825.0
215,2015-11-13,7762.25
216,2015-11-16,7806.6
217,2015-11-17,7837.55
218,2015-11-18,7731.8
219,2015-11-19,7842.75
220,2015-11-20,7856.55
221,2015-11-23,7849.25
222,2015-11-24,7831.6
223,2015-11-26,7883.8
224,2015-11-27,7942.7
225,2015-11-30,7935.25
226,2015-12-01,7954.9
227,2015-12-02,7931.35
228,2015-12-03,7864.15
229,2015-12-04,7781.9
230,2015-12-07,7765.4
231,2015-12-08,7701.7
232,2015-12-09,7612.5
233,2015-12-10,7683.3
234,2015-12-11,7610.45
235,2015-12-14,7650.05
236,2015-12-15,7700.9
237,2015-12-16,7750.9
238,2015-12-17,7844.35
239,2015-12-18,7761.95
240,2015-12-21,7834.45
241,2015-12-22,7786.1
242,2015-12-23,7865.95
243,2015-12-24,7861.05
244,2015-12-28,7925.15
245,2015-12-29,7928.95
246,2015-12-30,7896.25
247,2015-12-31,7946.35
248,2016-01-01,7963.2
249,2016-01-04,7791.3
250,2016-01-05,7784.65
251,2016-01-06,7741.0
252,2016-01-07,7568.3
253,2016-01-08,7601.35
254,2016-01-11,7563.85
255,2016-01-12,7510.3
256,2016-01-13,7562.4
257,2016-01-14,7536.8
258,2016-01-15,7437.8
259,2016-01-18,7351.0
260,2016-01-19,7435.1
261,2016-01-20,7309.3
262,2016-01-21,7276.8
263,2016-01-22,7422.45
264,2016-01-25,7436.15
265,2016-01-27,7437.75
266,2016-01-28,7424.65
267,2016-01-29,7563.55
268,2016-02-01,7555.95
269,2016-02-02,7455.55
270,2016-02-03,7361.8
271,2016-02-04,7404.0
272,2016-02-05,7489.1
273,2016-02-08,7387.25
274,2016-02-09,7298.2
275,2016-02-10,7215.7
276,2016-02-11,6976.35
277,2016-02-12,6980.95
278,2016-02-15,7162.95
279,2016-02-16,7048.25
280,2016-02-17,7108.45
281,2016-02-18,7191.75
282,2016-02-19,7210.75
283,2016-02-22,7234.55
284,2016-02-23,7109.55
285,2016-02-24,7018.7
286,2016-02-25,6970.6
287,2016-02-26,7029.75
288,2016-02-29,6987.05
289,2016-03-01,7222.3
290,2016-03-02,7368.85
291,2016-03-03,7475.6
292,2016-03-04,7485.35
293,2016-03-08,7485.3
294,2016-03-09,7531.8
295,2016-03-10,7486.15
296,2016-03-11,7510.2
297,2016-03-14,7538.75
298,2016-03-15,7460.6
299,2016-03-16,7498.75
300,2016-03-17,7512.55
301,2016-03-18,7604.35
302,2016-03-21,7704.25
303,2016-03-22,7714.9
304,2016-03-23,7716.5
305,2016-03-28,7615.1
306,2016-03-29,7597.0
307,2016-03-30,7735.2
308,2016-03-31,7738.4
309,2016-04-01,7713.05
310,2016-04-04,7758.8
311,2016-04-05,7603.2
312,2016-04-06,7614.35
313,2016-04-07,7546.45
314,2016-04-08,7555.2
315,2016-04-11,7671.4
316,2016-04-12,7708.95
317,2016-04-13,7850.45
318,2016-04-18,7914.7
319,2016-04-20,7914.75
320,2016-04-21,7912.05
321,2016-04-22,7899.3
322,2016-04-25,7855.05
323,2016-04-26,7962.65
