Date,Close/Last,Volume,Open,High,Low
02/14/2025,$4.99,24233630,$5.03,$5.06,$4.97
02/13/2025,$4.99,21506150,$4.95,$5.00,$4.95
02/12/2025,$5.01,25035030,$4.88,$5.01,$4.875
02/11/2025,$4.90,17587920,$4.82,$4.90,$4.80
02/10/2025,$4.83,12247250,$4.85,$4.87,$4.83
02/07/2025,$4.81,14592590,$4.80,$4.83,$4.7801
02/06/2025,$4.79,13925820,$4.84,$4.845,$4.76
02/05/2025,$4.80,22158040,$4.705,$4.80,$4.705
02/04/2025,$4.72,20211960,$4.62,$4.72,$4.62
02/03/2025,$4.62,20338270,$4.55,$4.70,$4.54
01/31/2025,$4.60,28625040,$4.63,$4.71,$4.60
01/30/2025,$4.70,55209040,$4.825,$4.85,$4.67
01/29/2025,$4.44,19272800,$4.47,$4.50,$4.41
01/28/2025,$4.46,16866740,$4.49,$4.51,$4.42
01/27/2025,$4.50,20443720,$4.55,$4.56,$4.45
01/24/2025,$4.51,27089710,$4.535,$4.56,$4.48
01/23/2025,$4.69,12342190,$4.64,$4.70,$4.64
01/22/2025,$4.61,13115490,$4.63,$4.66,$4.60
01/21/2025,$4.61,18114640,$4.61,$4.64,$4.5701
01/17/2025,$4.51,17200680,$4.49,$4.55,$4.48
01/16/2025,$4.44,30567450,$4.47,$4.47,$4.41
01/15/2025,$4.61,25953900,$4.63,$4.65,$4.60
01/14/2025,$4.51,10196920,$4.50,$4.54,$4.4801
01/13/2025,$4.47,13484050,$4.43,$4.49,$4.42
01/10/2025,$4.52,13624550,$4.54,$4.56,$4.50
01/08/2025,$4.66,9214668,$4.61,$4.67,$4.59
01/07/2025,$4.63,15385510,$4.67,$4.69,$4.62
01/06/2025,$4.56,14600610,$4.495,$4.58,$4.49
01/03/2025,$4.48,10804640,$4.43,$4.50,$4.42
01/02/2025,$4.46,12516290,$4.46,$4.48,$4.4249
12/31/2024,$4.43,5306313,$4.43,$4.44,$4.39
12/30/2024,$4.42,8188753,$4.47,$4.48,$4.4101
12/27/2024,$4.48,9381284,$4.46,$4.49,$4.45
12/26/2024,$4.47,6886245,$4.48,$4.54,$4.46
12/24/2024,$4.49,2620048,$4.42,$4.49,$4.42
12/23/2024,$4.45,10854000,$4.43,$4.46,$4.41
12/20/2024,$4.43,12435970,$4.36,$4.4554,$4.35
12/19/2024,$4.43,18123810,$4.40,$4.47,$4.40
12/18/2024,$4.39,12731640,$4.51,$4.55,$4.38
12/17/2024,$4.48,14172890,$4.45,$4.50,$4.44
12/16/2024,$4.47,11540300,$4.465,$4.50,$4.45
12/13/2024,$4.48,12383160,$4.44,$4.48,$4.41
12/12/2024,$4.43,18152220,$4.41,$4.52,$4.41
12/11/2024,$4.41,12428730,$4.37,$4.44,$4.36
12/10/2024,$4.40,14129390,$4.40,$4.44,$4.36
12/09/2024,$4.40,19756020,$4.40,$4.47,$4.38
12/06/2024,$4.24,10751040,$4.32,$4.35,$4.24
12/05/2024,$4.31,20604780,$4.25,$4.34,$4.24
12/04/2024,$4.17,16418020,$4.21,$4.24,$4.16
12/03/2024,$4.23,10021970,$4.20,$4.24,$4.18
12/02/2024,$4.20,9477760,$4.20,$4.22,$4.17
11/29/2024,$4.20,4568315,$4.19,$4.22,$4.19
11/27/2024,$4.19,12907620,$4.19,$4.22,$4.16
11/26/2024,$4.18,14044870,$4.22,$4.23,$4.14
11/25/2024,$4.21,20586600,$4.23,$4.2399,$4.1701
11/22/2024,$4.18,11900810,$4.17,$4.20,$4.15
11/21/2024,$4.13,27973970,$4.11,$4.19,$4.07
11/20/2024,$4.25,31017940,$4.27,$4.30,$4.22
11/19/2024,$4.15,72850190,$4.41,$4.45,$3.91
