Date,Close/Last,Volume,Open,High,Low
02/14/2025,$203.90,23220330,$199.98,$206.25,$197.4605
02/13/2025,$201.83,15580930,$201.88,$202.30,$199.23
02/12/2025,$206.38,7373675,$204.90,$207.0691,$203.01
02/11/2025,$208.74,9224508,$205.13,$209.84,$201.00
02/10/2025,$207.95,9296479,$208.00,$209.98,$206.53
02/07/2025,$206.12,11616200,$213.01,$213.18,$205.72
02/06/2025,$210.50,8491436,$210.055,$211.18,$207.00
02/05/2025,$208.57,10997770,$206.00,$210.48,$203.83
02/04/2025,$204.05,12692910,$204.07,$205.75,$202.08
02/03/2025,$199.80,17719770,$199.63,$204.99,$197.98
01/31/2025,$209.32,15781910,$209.93,$215.00,$208.20
01/30/2025,$208.15,13538950,$206.57,$209.62,$205.4161
01/29/2025,$202.33,15199490,$204.49,$206.45,$199.75
01/28/2025,$202.40,31738840,$195.65,$202.84,$192.46
01/27/2025,$192.31,68667470,$197.04,$207.00,$187.665
01/24/2025,$221.88,13183800,$226.22,$226.40,$220.96
01/23/2025,$224.62,8986795,$220.10,$224.70,$219.41
01/22/2025,$223.20,17294470,$221.95,$225.43,$219.31
01/21/2025,$218.70,19061300,$214.46,$220.15,$212.05
01/17/2025,$211.50,21606100,$215.17,$215.68,$211.06
01/16/2025,$214.79,38539550,$218.89,$221.95,$213.17
01/15/2025,$206.80,18286490,$202.49,$209.04,$199.35
01/14/2025,$201.45,14182940,$205.185,$206.26,$198.50
01/13/2025,$201.36,16612390,$200.52,$203.59,$200.05
01/10/2025,$208.37,17265200,$207.60,$209.9791,$203.23
01/08/2025,$207.12,13262730,$209.97,$210.30,$205.92
01/07/2025,$211.42,17010000,$221.24,$221.48,$211.32
01/06/2025,$220.01,24339950,$218.77,$222.20,$215.693
01/03/2025,$208.61,10261950,$204.10,$208.80,$203.70
01/02/2025,$201.58,10951430,$197.00,$203.7699,$196.69
12/31/2024,$197.49,6427867,$200.79,$201.78,$197.36
12/30/2024,$200.39,11235210,$199.84,$201.967,$198.48
12/27/2024,$201.63,10664420,$204.50,$204.50,$199.05
12/26/2024,$203.06,8053235,$205.50,$208.16,$202.89
12/24/2024,$206.33,7634490,$205.92,$207.20,$204.55
12/23/2024,$207.36,17847040,$201.00,$208.0499,$200.905
12/20/2024,$197.21,16170140,$192.60,$198.08,$191.98
12/19/2024,$194.64,10553410,$198.40,$198.57,$193.95
12/18/2024,$195.56,14721070,$203.00,$205.24,$193.96
12/17/2024,$200.66,11169360,$201.00,$202.40,$197.47
12/16/2024,$202.22,15139260,$203.20,$205.50,$200.87
12/13/2024,$200.99,19476980,$198.51,$202.54,$197.27
